"condition" "typerepeat" "nb_of_sv" "runocc"
"random" "SD" 3981 "43"
"random" "NoSD" 3672 "43"
"random" "LINE" 1693 "43"
"random" "SINE" 477 "43"
"random" "DNA" 2108 "43"
"random" "LTR" 300 "43"
"random" "All" 3981 "44"
"random" "SD" 3981 "44"
"random" "NoSD" 3623 "44"
"random" "LINE" 1655 "44"
"random" "SINE" 436 "44"
"random" "DNA" 2057 "44"
"random" "LTR" 272 "44"
"random" "All" 3983 "45"
"random" "SD" 3981 "45"
"random" "NoSD" 3663 "45"
"random" "LINE" 1716 "45"
"random" "SINE" 492 "45"
"random" "DNA" 2131 "45"
"random" "LTR" 296 "45"
"random" "All" 3984 "46"
"random" "SD" 3984 "46"
"random" "NoSD" 3641 "46"
"random" "LINE" 1664 "46"
"random" "SINE" 473 "46"
"random" "DNA" 2073 "46"
"random" "LTR" 287 "46"
"random" "All" 3987 "47"
"random" "SD" 3987 "47"
"random" "NoSD" 3665 "47"
"random" "LINE" 1705 "47"
"random" "SINE" 458 "47"
"random" "DNA" 2140 "47"
"random" "LTR" 254 "47"
"random" "All" 3985 "48"
"random" "SD" 3985 "48"
"random" "NoSD" 3685 "48"
"random" "LINE" 1672 "48"
"random" "SINE" 468 "48"
"random" "DNA" 2067 "48"
"random" "LTR" 280 "48"
"random" "All" 3980 "49"
"random" "SD" 3980 "49"
"random" "NoSD" 3665 "49"
"random" "LINE" 1704 "49"
"random" "SINE" 440 "49"
"random" "DNA" 2110 "49"
"random" "LTR" 293 "49"
"random" "All" 3983 "50"
"random" "SD" 3983 "50"
"random" "NoSD" 3658 "50"
"random" "LINE" 1631 "50"
"random" "SINE" 491 "50"
"random" "DNA" 2064 "50"
"random" "LTR" 302 "50"
"random" "All" 3985 "51"
"random" "SD" 3983 "51"
"random" "NoSD" 3674 "51"
"random" "LINE" 1724 "51"
"random" "SINE" 476 "51"
"random" "DNA" 2081 "51"
"random" "LTR" 295 "51"
"random" "All" 3985 "52"
"random" "SD" 3985 "52"
"random" "NoSD" 3670 "52"
"random" "LINE" 1660 "52"
"random" "SINE" 473 "52"
"random" "DNA" 2070 "52"
"random" "LTR" 273 "52"
"random" "All" 3985 "53"
"random" "SD" 3985 "53"
"random" "NoSD" 3624 "53"
"random" "LINE" 1682 "53"
"random" "SINE" 485 "53"
"random" "DNA" 2042 "53"
"random" "LTR" 299 "53"
"random" "All" 3982 "54"
"random" "SD" 3982 "54"
"random" "NoSD" 3674 "54"
"random" "LINE" 1718 "54"
"random" "SINE" 461 "54"
"random" "DNA" 2086 "54"
"random" "LTR" 310 "54"
"random" "All" 3983 "55"
"random" "SD" 3982 "55"
"random" "NoSD" 3662 "55"
"random" "LINE" 1680 "55"
"random" "SINE" 447 "55"
"random" "DNA" 2108 "55"
"random" "LTR" 261 "55"
"random" "All" 3986 "56"
"random" "SD" 3986 "56"
"random" "NoSD" 3670 "56"
"random" "LINE" 1702 "56"
"random" "SINE" 463 "56"
"random" "DNA" 2059 "56"
"random" "LTR" 277 "56"
"random" "All" 3986 "57"
"random" "SD" 3983 "57"
"random" "NoSD" 3677 "57"
"random" "LINE" 1662 "57"
"random" "SINE" 477 "57"
"random" "DNA" 2133 "57"
"random" "LTR" 325 "57"
"random" "All" 3985 "58"
"random" "SD" 3985 "58"
"random" "NoSD" 3672 "58"
"random" "LINE" 1684 "58"
"random" "SINE" 424 "58"
"random" "DNA" 2098 "58"
"random" "LTR" 291 "58"
"random" "All" 3982 "59"
"random" "SD" 3982 "59"
"random" "NoSD" 3683 "59"
"random" "LINE" 1695 "59"
"random" "SINE" 465 "59"
"random" "DNA" 2112 "59"
"random" "LTR" 260 "59"
"random" "All" 3986 "60"
"random" "SD" 3985 "60"
"random" "NoSD" 3673 "60"
"random" "LINE" 1692 "60"
"random" "SINE" 451 "60"
"random" "DNA" 2106 "60"
"random" "LTR" 306 "60"
"random" "All" 3985 "61"
"random" "SD" 3984 "61"
