"condition" "typerepeat" "nb_of_sv" "runocc"
"random" "SD" 3488 "70"
"random" "NoSD" 2810 "70"
"random" "LINE" 918 "70"
"random" "SINE" 223 "70"
"random" "DNA" 1198 "70"
"random" "LTR" 138 "70"
"random" "All" 3488 "71"
"random" "SD" 3416 "71"
"random" "NoSD" 2779 "71"
"random" "LINE" 943 "71"
"random" "SINE" 220 "71"
"random" "DNA" 1169 "71"
"random" "LTR" 136 "71"
"random" "All" 3545 "72"
"random" "SD" 3474 "72"
"random" "NoSD" 2804 "72"
"random" "LINE" 947 "72"
"random" "SINE" 257 "72"
"random" "DNA" 1207 "72"
"random" "LTR" 162 "72"
"random" "All" 3577 "73"
"random" "SD" 3528 "73"
"random" "NoSD" 2803 "73"
"random" "LINE" 915 "73"
"random" "SINE" 218 "73"
"random" "DNA" 1180 "73"
"random" "LTR" 171 "73"
"random" "All" 3545 "74"
"random" "SD" 3485 "74"
"random" "NoSD" 2759 "74"
"random" "LINE" 934 "74"
"random" "SINE" 223 "74"
"random" "DNA" 1220 "74"
"random" "LTR" 171 "74"
"random" "All" 3527 "75"
"random" "SD" 3465 "75"
"random" "NoSD" 2768 "75"
"random" "LINE" 969 "75"
"random" "SINE" 210 "75"
"random" "DNA" 1161 "75"
"random" "LTR" 182 "75"
"random" "All" 3547 "76"
"random" "SD" 3479 "76"
"random" "NoSD" 2794 "76"
"random" "LINE" 913 "76"
"random" "SINE" 231 "76"
"random" "DNA" 1194 "76"
"random" "LTR" 158 "76"
"random" "All" 3553 "77"
"random" "SD" 3486 "77"
"random" "NoSD" 2758 "77"
"random" "LINE" 956 "77"
"random" "SINE" 209 "77"
"random" "DNA" 1125 "77"
"random" "LTR" 157 "77"
"random" "All" 3583 "78"
"random" "SD" 3528 "78"
"random" "NoSD" 2798 "78"
"random" "LINE" 965 "78"
"random" "SINE" 248 "78"
"random" "DNA" 1166 "78"
"random" "LTR" 166 "78"
"random" "All" 3552 "79"
"random" "SD" 3482 "79"
"random" "NoSD" 2794 "79"
"random" "LINE" 926 "79"
"random" "SINE" 230 "79"
"random" "DNA" 1199 "79"
"random" "LTR" 167 "79"
"random" "All" 3582 "80"
"random" "SD" 3515 "80"
"random" "NoSD" 2780 "80"
"random" "LINE" 889 "80"
"random" "SINE" 222 "80"
"random" "DNA" 1165 "80"
"random" "LTR" 159 "80"
"random" "All" 3571 "81"
"random" "SD" 3509 "81"
"random" "NoSD" 2828 "81"
"random" "LINE" 935 "81"
"random" "SINE" 245 "81"
"random" "DNA" 1210 "81"
"random" "LTR" 160 "81"
"random" "All" 3543 "82"
"random" "SD" 3479 "82"
"random" "NoSD" 2763 "82"
"random" "LINE" 980 "82"
"random" "SINE" 210 "82"
"random" "DNA" 1143 "82"
"random" "LTR" 162 "82"
"random" "All" 3530 "83"
"random" "SD" 3457 "83"
"random" "NoSD" 2748 "83"
"random" "LINE" 954 "83"
"random" "SINE" 233 "83"
"random" "DNA" 1112 "83"
"random" "LTR" 162 "83"
"random" "All" 3555 "84"
"random" "SD" 3498 "84"
"random" "NoSD" 2774 "84"
"random" "LINE" 939 "84"
"random" "SINE" 243 "84"
"random" "DNA" 1210 "84"
"random" "LTR" 133 "84"
"random" "All" 3564 "85"
"random" "SD" 3499 "85"
"random" "NoSD" 2817 "85"
"random" "LINE" 923 "85"
"random" "SINE" 229 "85"
"random" "DNA" 1212 "85"
"random" "LTR" 171 "85"
"random" "All" 3547 "86"
"random" "SD" 3487 "86"
"random" "NoSD" 2777 "86"
"random" "LINE" 932 "86"
"random" "SINE" 216 "86"
"random" "DNA" 1216 "86"
"random" "LTR" 161 "86"
"random" "All" 3535 "87"
"random" "SD" 3477 "87"
"random" "NoSD" 2769 "87"
"random" "LINE" 937 "87"
"random" "SINE" 246 "87"
"random" "DNA" 1171 "87"
"random" "LTR" 168 "87"
"random" "All" 3554 "88"
"random" "SD" 3488 "88"
"random" "NoSD" 2813 "88"
"random" "LINE" 907 "88"
"random" "SINE" 246 "88"
"random" "DNA" 1168 "88"
"random" "LTR" 162 "88"
"random" "All" 3534 "89"
"random" "SD" 3472 "89"
"random" "NoSD" 2784 "89"
"random" "LINE" 954 "89"
"random" "SINE" 251 "89"
"random" "DNA" 1169 "89"
"random" "LTR" 159 "89"
"random" "All" 3551 "90"
"random" "SD" 3493 "90"
"random" "NoSD" 2784 "90"
"random" "LINE" 947 "90"
"random" "SINE" 235 "90"
"random" "DNA" 1210 "90"
"random" "LTR" 172 "90"
"random" "All" 3542 "91"
"random" "SD" 3472 "91"
"random" "NoSD" 2790 "91"
"random" "LINE" 939 "91"
"random" "SINE" 248 "91"
"random" "DNA" 1159 "91"
"random" "LTR" 168 "91"
"random" "All" 3538 "92"
"random" "SD" 3495 "92"
"random" "NoSD" 2792 "92"
"random" "LINE" 917 "92"
"random" "SINE" 260 "92"
"random" "DNA" 1218 "92"
"random" "LTR" 134 "92"
"random" "All" 3565 "93"
"random" "SD" 3498 "93"
"random" "NoSD" 2800 "93"
"random" "LINE" 931 "93"
"random" "SINE" 222 "93"
"random" "DNA" 1220 "93"
"random" "LTR" 180 "93"
"random" "All" 3554 "94"
"random" "SD" 3497 "94"
"random" "NoSD" 2779 "94"
"random" "LINE" 911 "94"
"random" "SINE" 234 "94"
"random" "DNA" 1200 "94"
"random" "LTR" 151 "94"
"random" "All" 3550 "95"
"random" "SD" 3487 "95"
"random" "NoSD" 2800 "95"
"random" "LINE" 900 "95"
"random" "SINE" 218 "95"
"random" "DNA" 1133 "95"
"random" "LTR" 168 "95"
"random" "All" 3545 "96"
"random" "SD" 3484 "96"
"random" "NoSD" 2812 "96"
"random" "LINE" 922 "96"
"random" "SINE" 244 "96"
"random" "DNA" 1184 "96"
"random" "LTR" 179 "96"
"random" "All" 3592 "97"
"random" "SD" 3520 "97"
"random" "NoSD" 2809 "97"
"random" "LINE" 954 "97"
"random" "SINE" 230 "97"
"random" "DNA" 1143 "97"
"random" "LTR" 149 "97"
"random" "All" 3521 "98"
"random" "SD" 3451 "98"
"random" "NoSD" 2808 "98"
"random" "LINE" 949 "98"
"random" "SINE" 248 "98"
"random" "DNA" 1216 "98"
"random" "LTR" 160 "98"
"random" "All" 3547 "99"
"random" "SD" 3468 "99"
"random" "NoSD" 2739 "99"
"random" "LINE" 895 "99"
"random" "SINE" 229 "99"
"random" "DNA" 1191 "99"
"random" "LTR" 140 "99"
"random" "All" 3551 "100"
"random" "SD" 3496 "100"
"random" "NoSD" 2778 "100"
"random" "LINE" 952 "100"
"random" "SINE" 225 "100"
"random" "DNA" 1163 "100"
"random" "LTR" 195 "100"
"random" "All" 3576 "101"
"random" "SD" 3514 "101"
"random" "NoSD" 2801 "101"
"random" "LINE" 902 "101"
"random" "SINE" 216 "101"
"random" "DNA" 1209 "101"
"random" "LTR" 155 "101"
"random" "All" 3551 "102"
"random" "SD" 3485 "102"
"random" "NoSD" 2810 "102"
"random" "LINE" 982 "102"
"random" "SINE" 239 "102"
"random" "DNA" 1223 "102"
"random" "LTR" 163 "102"
"random" "All" 3554 "103"
"random" "SD" 3480 "103"
"random" "NoSD" 2836 "103"
"random" "LINE" 938 "103"
"random" "SINE" 214 "103"
"random" "DNA" 1214 "103"
"random" "LTR" 188 "103"
"random" "All" 3498 "104"
"random" "SD" 3426 "104"
"random" "NoSD" 2763 "104"
"random" "LINE" 905 "104"
"random" "SINE" 223 "104"
"random" "DNA" 1172 "104"
"random" "LTR" 144 "104"
"random" "All" 3562 "105"
"random" "SD" 3477 "105"
"random" "NoSD" 2793 "105"
"random" "LINE" 919 "105"
"random" "SINE" 239 "105"
"random" "DNA" 1210 "105"
"random" "LTR" 169 "105"
"random" "All" 3551 "106"
"random" "SD" 3476 "106"
"random" "NoSD" 2773 "106"
"random" "LINE" 930 "106"
"random" "SINE" 207 "106"
"random" "DNA" 1175 "106"
"random" "LTR" 153 "106"
"random" "All" 3570 "107"
"random" "SD" 3501 "107"
"random" "NoSD" 2782 "107"
"random" "LINE" 890 "107"
"random" "SINE" 246 "107"
"random" "DNA" 1178 "107"
"random" "LTR" 162 "107"
"random" "All" 3532 "108"
"random" "SD" 3464 "108"
"random" "NoSD" 2799 "108"
"random" "LINE" 937 "108"
"random" "SINE" 233 "108"
"random" "DNA" 1187 "108"
"random" "LTR" 167 "108"
"random" "All" 3547 "109"
"random" "SD" 3485 "109"
"random" "NoSD" 2784 "109"
"random" "LINE" 912 "109"
"random" "SINE" 213 "109"
"random" "DNA" 1162 "109"
"random" "LTR" 149 "109"
"random" "All" 3521 "110"
"random" "SD" 3451 "110"
"random" "NoSD" 2714 "110"
"random" "LINE" 931 "110"
"random" "SINE" 225 "110"
"random" "DNA" 1124 "110"
"random" "LTR" 155 "110"
"random" "All" 3563 "111"
"random" "SD" 3483 "111"
"random" "NoSD" 2809 "111"
"random" "LINE" 905 "111"
"random" "SINE" 212 "111"
"random" "DNA" 1169 "111"
"random" "LTR" 174 "111"
"random" "All" 3568 "112"
"random" "SD" 3514 "112"
"random" "NoSD" 2818 "112"
"random" "LINE" 936 "112"
"random" "SINE" 253 "112"
"random" "DNA" 1167 "112"
"random" "LTR" 160 "112"
"random" "All" 3568 "113"
"random" "SD" 3499 "113"
"random" "NoSD" 2810 "113"
"random" "LINE" 938 "113"
"random" "SINE" 231 "113"
"random" "DNA" 1196 "113"
"random" "LTR" 140 "113"
"random" "All" 3506 "114"
"random" "SD" 3433 "114"
"random" "NoSD" 2755 "114"
"random" "LINE" 909 "114"
"random" "SINE" 209 "114"
"random" "DNA" 1199 "114"
"random" "LTR" 174 "114"
"random" "All" 3563 "115"
"random" "SD" 3494 "115"
"random" "NoSD" 2788 "115"
"random" "LINE" 903 "115"
"random" "SINE" 220 "115"
"random" "DNA" 1187 "115"
"random" "LTR" 144 "115"
"random" "All" 3539 "116"
"random" "SD" 3466 "116"
"random" "NoSD" 2751 "116"
"random" "LINE" 938 "116"
"random" "SINE" 212 "116"
"random" "DNA" 1182 "116"
"random" "LTR" 161 "116"
"random" "All" 3538 "117"
"random" "SD" 3467 "117"
"random" "NoSD" 2775 "117"
"random" "LINE" 949 "117"
"random" "SINE" 227 "117"
"random" "DNA" 1158 "117"
"random" "LTR" 164 "117"
"random" "All" 3559 "118"
"random" "SD" 3501 "118"
"random" "NoSD" 2780 "118"
"random" "LINE" 967 "118"
"random" "SINE" 217 "118"
"random" "DNA" 1184 "118"
"random" "LTR" 169 "118"
"random" "All" 3540 "119"
"random" "SD" 3473 "119"
"random" "NoSD" 2790 "119"
"random" "LINE" 967 "119"
"random" "SINE" 231 "119"
"random" "DNA" 1200 "119"
"random" "LTR" 155 "119"
"random" "All" 3527 "120"
"random" "SD" 3453 "120"
"random" "NoSD" 2792 "120"
"random" "LINE" 906 "120"
"random" "SINE" 219 "120"
"random" "DNA" 1173 "120"
"random" "LTR" 162 "120"
"random" "All" 3535 "121"
"random" "SD" 3473 "121"
"random" "NoSD" 2692 "121"
"random" "LINE" 930 "121"
"random" "SINE" 206 "121"
"random" "DNA" 1152 "121"
"random" "LTR" 162 "121"
"random" "All" 3535 "122"
"random" "SD" 3482 "122"
"random" "NoSD" 2794 "122"
"random" "LINE" 907 "122"
"random" "SINE" 224 "122"
"random" "DNA" 1173 "122"
"random" "LTR" 162 "122"
"random" "All" 3552 "123"
"random" "SD" 3481 "123"
"random" "NoSD" 2796 "123"
"random" "LINE" 924 "123"
"random" "SINE" 248 "123"
"random" "DNA" 1177 "123"
"random" "LTR" 169 "123"
"random" "All" 3544 "124"
"random" "SD" 3492 "124"
"random" "NoSD" 2816 "124"
"random" "LINE" 979 "124"
"random" "SINE" 223 "124"
"random" "DNA" 1185 "124"
"random" "LTR" 168 "124"
"random" "All" 3560 "125"
"random" "SD" 3510 "125"
"random" "NoSD" 2783 "125"
"random" "LINE" 939 "125"
"random" "SINE" 218 "125"
